seed,tick,hash
1,100,c549de9e5cf52078
1,1000,5fa87f3fe67450cd
1,12000,00e7c19b3db0166a
2,100,6ea62d7a2fc0d3d3
2,1000,18da7671cbd027b4
2,12000,e937994e017ea56c
3,100,d8260187fb876cd8
3,1000,781452853755416a
3,12000,4f7650d532b46107
4,100,770d2f18a531eb25
4,1000,5797a9d4dea276fb
4,12000,5bc6914213d716f2
5,100,f7a79c1656c0f445
5,1000,31e578f2c56e8252
5,12000,3b2c13ea98fc3983
6,100,cc160bdfac15e0f0
6,1000,b5dc5f1a7f1cf331
6,12000,5a9d394ed90232f5
7,100,869bc886a9481005
7,1000,86279350cc566754
7,12000,6d481f1b835fa3aa
8,100,da4643fbdabded55
8,1000,32fa92aa69474f36
8,12000,d9a9d0dd77a2e38c
